Timestamp_uS,Position,P,I,D,Total_Adjustment,PWM_L,PWM_R
13814108,3477,3,0,11,14,186,214
13817388,3430,10,0,23,33,166,234
13820684,3430,10,0,0,10,190,210
13823972,3430,10,0,0,10,190,210
13827264,3422,11,0,4,15,185,215
13830564,3422,11,0,0,11,189,211
13833852,3421,11,0,0,11,188,212
13837148,3427,10,0,-3,7,193,207
13840456,3436,9,0,-4,5,195,205
13843756,3426,11,0,5,16,184,216
13847052,3402,14,0,12,26,174,226
13850344,3250,37,0,76,113,87,255
13853640,3241,38,0,4,42,157,243
13856948,3367,19,0,-63,-44,243,157
13873472,3297,30,0,1,31,169,231
13876784,3337,24,0,-20,4,196,204
13880092,3330,25,0,3,28,171,229
13896652,3278,33,0,10,43,157,243
13899968,3262,35,0,8,43,157,243
13903284,3262,35,0,0,35,165,235
13916588,3196,45,0,2,47,153,247
13919908,3195,45,0,0,45,154,246
13923224,3383,17,0,-94,-77,255,124
13939792,3145,53,0,-1,52,148,252
13943108,3160,51,0,-7,44,157,243
13946420,3161,50,0,0,50,150,250
13959664,3257,36,0,-16,20,180,220
13962960,3274,33,0,-8,25,175,225
13966264,3277,33,0,-1,32,169,231
14009132,3532,-4,0,6,2,199,201
14012428,3537,-5,0,-2,-7,208,192
14015716,3526,-3,0,5,2,199,201
14032164,3536,-5,0,-5,-10,210,190
14035500,3524,-3,0,6,3,198,202
14038784,3550,-7,0,-13,-20,220,180
14052076,3549,-7,0,-9,-16,216,184
14055364,3556,-8,0,-3,-11,211,189
14058656,3631,-19,0,-37,-56,255,143
14075160,3910,-61,0,-18,-79,255,121
14078468,3985,-72,0,-37,-109,255,90
14081780,4025,-78,0,-20,-98,255,102
14098344,4248,-112,0,-19,-131,255,69
14101660,4258,-113,0,-5,-118,255,82
14104968,4278,-116,0,-10,-126,255,74
14118200,4222,-108,0,14,-94,255,106
14121504,4160,-99,0,31,-68,255,132
14124812,4141,-96,0,9,-87,255,114
14141352,3637,-20,0,49,29,172,228
14144644,3573,-10,0,32,22,179,221
14147976,3517,-2,0,28,26,175,225
14164508,3536,-5,0,6,1,199,201
14167792,3529,-4,0,3,-1,200,200
14171076,3500,0,0,14,14,186,214
14187648,3262,35,0,72,107,93,255
14190948,3142,53,0,60,113,87,255
14194256,3027,70,0,57,127,72,255
14210760,2573,139,0,29,168,32,255
14214048,2560,141,0,6,147,53,255
14217388,2500,150,0,30,180,20,255
14230728,2532,145,0,-22,123,77,255
14234064,2539,144,0,-3,141,60,255
14237352,2493,151,0,23,174,26,255
14253824,2890,91,0,-57,34,166,234
14257132,3045,68,0,-77,-9,209,191
14260440,3186,47,0,-70,-23,223,177
14276936,3530,-4,0,-3,-7,207,193
14280272,3536,-5,0,-3,-8,208,192
14283560,3529,-4,0,3,-1,200,200
14303388,4089,-88,0,-61,-149,255,51
14306704,4241,-111,0,-76,-187,255,13
14319948,4482,-147,0,9,-138,255,62
14323236,4481,-147,0,0,-147,255,54
14326520,4482,-147,0,0,-147,255,53
14343044,4463,-144,0,6,-138,255,63
14346340,4475,-146,0,-6,-152,255,48
14349636,4481,-147,0,-3,-150,255,50
14362836,4500,-150,0,0,-150,255,50
14366160,4475,-146,0,12,-134,255,67
14369444,4413,-136,0,31,-105,255,95
14392580,3518,-2,0,19,17,184,216
14395912,3530,-4,0,-6,-10,210,190
14415752,3245,38,0,86,124,76,255
14419060,3047,67,0,99,166,34,255
14435612,2500,150,0,0,150,50,255
14438892,2487,151,0,6,157,42,255
14458708,2443,158,0,-7,151,49,255
14462008,2456,156,0,-6,150,50,255
14475172,2428,160,0,-3,157,43,255
14478472,2443,158,0,-7,151,49,255
14481764,2457,156,0,-7,149,51,255
14504940,2494,150,0,5,155,44,255
14508288,2493,151,0,0,151,49,255
14524816,3006,74,0,-85,-11,210,190
14528128,3259,36,0,-126,-90,255,110
14547932,3556,-8,0,-10,-18,218,182
14551224,3644,-21,0,-44,-65,255,135
14571088,4500,-150,0,-12,-162,255,38
14574372,4506,-150,0,-3,-153,255,47
14594168,4675,-176,0,-28,-204,255,0
14597480,4730,-184,0,-27,-211,255,0
14617396,4892,-208,0,8,-200,255,0
14620720,4868,-205,0,12,-193,255,7
14640580,4513,-151,0,14,-137,255,63
14643880,4500,-150,0,6,-144,255,57
14660392,4486,-147,0,-9,-156,255,43
14663696,4406,-135,0,40,-95,255,105
14683532,3556,-8,0,5,-3,203,197
14686820,3544,-6,0,6,0,200,200
14706652,2515,147,0,103,250,0,255
14709952,2520,147,0,-2,145,56,255
14729792,2068,214,0,91,305,0,255
14733112,1969,229,0,49,278,0,255
14736444,1843,248,0,63,311,0,255
14749688,1525,296,0,-6,290,0,255
14752996,1530,295,0,-2,293,0,255
14772920,1500,300,0,0,300,0,255
14776252,1501,299,0,0,299,0,255
14819364,2078,213,0,-60,153,48,255
14822676,2230,190,0,-76,114,86,255
14825980,2340,174,0,-55,119,81,255
14842548,2457,156,0,0,156,45,255
14845836,2456,156,0,0,156,43,255
14849132,2481,152,0,-12,140,60,255
14865656,3324,26,0,-92,-66,255,134
14868960,3431,10,0,-53,-43,243,157
14872256,3465,5,0,-17,-12,211,189
14885432,3548,-7,0,-24,-31,231,169
14888720,3512,-1,0,18,17,184,216
14892016,3518,-2,0,-3,-5,205,195
14908504,3526,-3,0,-6,-9,210,190
14911796,3527,-4,0,0,-4,204,196
14915092,3520,-3,0,3,0,200,200
14928292,3525,-3,0,7,4,197,203
14931588,3513,-1,0,6,5,196,204
14934888,3512,-1,0,0,-1,201,199
14951348,3505,0,0,0,0,200,200
