Timestamp_uS,Position,P,I,D,Total_Adjustment,PWM_L,PWM_R
13814564,3559,-7,0,-41,-48,248,152
13817880,3559,-7,0,0,-7,207,193
13821196,3557,-7,0,1,-6,206,194
13824524,3588,-11,0,-21,-32,233,167
13827852,3618,-15,0,-21,-36,236,164
13831188,3667,-21,0,-34,-55,255,144
13834524,3686,-24,0,-13,-37,237,163
13837876,3743,-31,0,-39,-70,255,129
13841188,3768,-34,0,-17,-51,252,148
13851184,3723,-28,0,32,4,197,203
13854492,3728,-29,0,-3,-32,233,167
13857820,3586,-11,0,99,88,112,255
13871064,3005,64,0,81,145,55,255
13874376,2990,66,0,10,76,124,255
13877680,2992,66,0,-1,65,136,255
13894232,2763,95,0,-1,94,106,255
13897548,2793,91,0,-21,70,130,255
13900860,3162,43,0,-258,-215,255,0
13917436,2868,82,0,-22,60,141,255
13920752,2917,75,0,-34,41,159,241
13924064,2976,68,0,-41,27,174,226
13940652,3161,44,0,0,44,157,243
13943972,3218,36,0,-39,-3,203,197
13947284,3273,29,0,-38,-9,208,192
13960492,3469,4,0,-37,-33,233,167
13963784,3479,2,0,-7,-5,204,196
13967076,3499,0,0,-14,-14,213,187
13983624,3525,-3,0,9,6,194,206
13986924,3532,-4,0,-4,-8,209,191
13990216,3531,-4,0,0,-4,203,197
14006788,3583,-10,0,-14,-24,225,175
14010076,3577,-10,0,4,-6,205,195
14013364,3690,-24,0,-79,-103,255,97
14029908,4088,-76,0,-29,-105,255,95
14033220,4192,-89,0,-72,-161,255,38
14036528,4239,-96,0,-32,-128,255,72
14049748,4421,-119,0,-1,-120,255,79
14053052,4435,-121,0,-9,-130,255,69
14056352,4456,-124,0,-14,-138,255,62
14076164,4388,-115,0,18,-97,255,104
14079456,4345,-109,0,30,-79,255,121
14082756,4280,-101,0,45,-56,255,145
14095988,3781,-36,0,128,92,109,255
14099300,3535,-4,0,172,168,33,255
14102604,3525,-3,0,7,4,197,203
14119040,3530,-3,0,0,-3,203,197
14122368,3518,-2,0,8,6,194,206
14125660,3518,-2,0,0,-2,202,198
14142144,3042,59,0,83,142,58,255
14145456,2867,82,0,122,204,0,255
14148772,2695,104,0,120,224,0,255
14165276,2494,130,0,4,134,66,255
14168612,2545,124,0,-35,89,112,255
14171896,2494,130,0,35,165,34,255
14188416,2475,133,0,13,146,54,255
14191712,2547,123,0,-50,73,127,255
14195000,2557,122,0,-7,115,85,255
14208236,3364,17,0,-106,-89,255,112
14211540,3471,3,0,-74,-71,255,129
14214840,3506,0,0,-24,-24,225,175
14231332,3535,-4,0,-3,-7,208,192
14234632,3543,-5,0,-5,-10,211,189
14237924,3610,-14,0,-46,-60,255,139
14254480,4336,-108,0,-84,-192,255,7
14257788,4404,-117,0,-47,-164,255,35
