Timestamp_uS,Position,P,I,D,Total_Adjustment,PWM_L,PWM_R
13817852,3303,14,0,9,23,176,224
13821184,3205,21,0,4,25,174,226
13824476,3204,21,0,0,21,179,221
13827768,3206,21,0,0,21,179,221
13831060,3218,20,0,0,20,181,219
13834412,3229,19,0,0,19,181,219
13837756,3224,20,0,0,20,180,220
13841100,3287,15,0,-3,12,188,212
13844388,3353,10,0,-3,7,193,207
13847740,3469,2,0,-5,-3,203,197
13851084,3382,8,0,4,12,188,212
13854424,3402,7,0,-1,6,194,206
13857712,3405,6,0,0,6,194,206
13861056,3399,7,0,0,7,193,207
13864392,3398,7,0,0,7,193,207
13867732,3391,7,0,0,7,192,208
13884304,3416,6,0,0,6,195,205
13887644,3426,5,0,0,5,196,204
13890976,3425,5,0,0,5,195,205
13904224,3414,6,0,0,6,194,206
13907560,3424,5,0,0,5,195,205
13910844,3402,7,0,1,8,192,208
13927348,3513,0,0,0,0,200,200
13930640,3506,0,0,0,0,200,200
13933924,3514,-1,0,0,-1,201,199
13950388,3553,-3,0,0,-3,203,197
13953680,3555,-4,0,0,-4,204,196
13956972,3562,-4,0,0,-4,204,196
13970144,3572,-5,0,-6,-11,211,189
13973436,3646,-10,0,-3,-13,214,186
13976744,3691,-13,0,-2,-15,216,184
13993288,3832,-24,0,-3,-27,227,173
13996604,4041,-39,0,-10,-49,249,151
13999912,4144,-47,0,-5,-52,252,148
14016436,4305,-58,0,5,-53,253,147
14019728,4345,-61,0,-2,-63,255,137
14023068,4352,-62,0,0,-62,255,138
14042868,4479,-71,0,0,-71,255,128
14046164,4474,-71,0,0,-71,255,130
14065932,4500,-73,0,0,-73,255,128
14069224,4522,-74,0,-1,-75,255,125
14082448,4633,-82,0,-2,-84,255,115
14085748,4620,-81,0,0,-81,255,119
14089040,4614,-81,0,0,-81,255,119
14108892,4521,-74,0,0,-74,255,127
14112228,4521,-74,0,0,-74,255,126
14132028,4523,-74,0,-1,-75,255,125
14135328,4500,-73,0,1,-72,255,129
14155100,4462,-70,0,0,-70,255,131
14158388,4420,-67,0,2,-65,255,135
14178204,3573,-5,0,7,2,198,202
14181500,3537,-2,0,1,-1,200,200
14198056,3494,0,0,0,0,199,201
14201388,3506,0,0,0,0,201,199
14221188,2793,51,0,9,60,139,255
14224512,2566,68,0,11,79,121,255
14244352,2486,74,0,0,74,126,255
14247640,2507,72,0,-1,71,129,255
14267500,2480,74,0,0,74,126,255
14270836,2480,74,0,0,74,126,255
14287368,2467,75,0,0,75,125,255
14290656,2461,75,0,0,75,124,255
14310444,2499,73,0,0,73,128,255
14313732,2540,70,0,-2,68,132,255
228,2641,62,0,-5,57,143,255
14333568,3524,-1,0,-6,-7,208,192
14336852,3523,-1,0,0,-1,201,199
14356624,3761,-19,0,-8,-27,227,173
14359928,4000,-36,0,-11,-47,248,152
14379760,4482,-71,0,0,-71,255,130
14383048,4481,-71,0,0,-71,255,129
14399608,4598,-80,0,-2,-82,255,117
14402912,4674,-85,0,-3,-88,255,111
14422812,4933,-104,0,0,-104,255,96
14426136,4933,-104,0,0,-104,255,96
14446016,4543,-76,0,2,-74,255,127
14449320,4493,-72,0,2,-70,255,131
14469068,4481,-71,0,0,-71,255,130
14472364,4435,-68,0,2,-66,255,135
14475656,4455,-69,0,-1,-70,255,130
14492180,3613,-8,0,12,4,197,203
14495480,3557,-4,0,2,-2,201,199
14498772,3532,-2,0,1,-1,201,199
14515232,3274,16,0,8,24,175,225
14518540,3025,34,0,12,46,153,247
14521848,2736,55,0,14,69,130,255
14538384,2479,74,0,-1,73,127,255
14541680,2480,74,0,0,74,126,255
14544980,2403,80,0,3,83,117,255
14558220,1834,121,0,8,129,70,255
14561532,1709,130,0,6,136,64,255
14564836,1607,138,0,5,143,57,255
14581316,1525,144,0,0,144,57,255
14584600,1539,143,0,0,143,58,255
14587892,1582,140,0,-2,138,63,255
14601072,1500,146,0,1,147,53,255
14604376,1499,146,0,0,146,54,255
14607672,1554,142,0,-2,140,61,255
14627544,2131,99,0,-6,93,107,255
14630860,2268,89,0,-6,83,117,255
14634180,2428,78,0,-8,70,130,255
14650696,2505,72,0,0,72,128,255
14654032,2525,71,0,-1,70,130,255
14657320,2685,59,0,-8,51,149,251
14670548,3511,0,0,-3,-3,204,196
14673828,3487,0,0,1,1,198,202
14677124,3518,-1,0,-1,-2,202,198
14693688,4000,-36,0,-8,-44,245,155
14696996,4191,-50,0,-9,-59,255,141
14700304,4352,-62,0,-8,-70,255,130
14716772,4442,-68,0,0,-68,255,132
14720064,4420,-67,0,1,-66,255,134
14723360,4428,-67,0,0,-67,255,132
14739832,4452,-69,0,-1,-70,255,130
14743128,4438,-68,0,0,-68,255,133
14746424,4457,-69,0,0,-69,255,130
14759652,3764,-19,0,24,5,195,205
14762964,3515,-1,0,12,11,189,211
14766268,3507,0,0,0,0,200,200
14782728,2743,55,0,30,85,115,255
14786032,2471,75,0,13,88,112,255
14789328,2462,75,0,0,75,124,255
14805864,1507,145,0,7,152,48,255
14809172,1507,145,0,0,145,55,255
14812460,1293,161,0,10,171,29,255
14828992,436,223,0,1,224,0,255
14832288,422,224,0,0,224,0,255
14835580,297,233,0,6,239,0,255
14848860,0,255,0,0,255,0,255
14852180,0,255,0,0,255,0,255
14855496,0,255,0,0,255,0,255
14875200,0,255,0,0,255,0,255
14878448,0,255,0,0,255,0,255
14881696,0,255,0,0,255,0,255
14894688,0,255,0,0,255,0,255
14897932,0,255,0,0,255,0,255
14901176,0,255,0,0,255,0,255
14917412,0,255,0,0,255,0,255
14920660,0,255,0,0,255,0,255
14923908,0,255,0,0,255,0,255
14940140,0,255,0,0,255,0,255
14943396,0,255,0,0,255,0,255
14946640,0,255,0,0,255,0,255
14966128,0,255,0,0,255,0,255
14969376,0,255,0,0,255,0,255
14982376,0,255,0,0,255,0,255
14985624,0,255,0,0,255,0,255
14988872,0,255,0,0,255,0,255
15011604,0,255,0,0,255,0,255
15014856,0,255,0,0,255,0,255
15034332,0,255,0,0,255,0,255
15037584,0,255,0,0,255,0,255
15057072,0,255,0,0,255,0,255
15060316,0,255,0,0,255,0,255
15076548,0,255,0,0,255,0,255
15079796,0,255,0,0,255,0,255
15099288,0,255,0,0,255,0,255
15102536,0,255,0,0,255,0,255
15122032,0,255,0,0,255,0,255
15125280,0,255,0,0,255,0,255
15145164,139,245,0,0,245,0,255
15148472,139,245,0,0,245,0,255
15168360,368,228,0,-5,223,0,255
15171676,401,226,0,-1,225,0,255
15191492,587,212,0,-5,207,0,255
15194800,737,201,0,-7,194,6,255
15198116,1067,177,0,-16,161,39,255
15211360,1470,148,0,0,148,52,255
15214652,1492,146,0,-1,145,55,255
15234512,2433,77,0,1,78,122,255
15237820,2471,75,0,-1,74,127,255
15257700,3517,-1,0,-1,-2,202,198
15261008,3533,-2,0,0,-2,203,197
15264312,3749,-18,0,-10,-28,228,172
15277588,4465,-70,0,0,-70,255,130
15280900,4466,-70,0,0,-70,255,130
15300844,5471,-143,0,-4,-147,255,53
15304160,5490,-145,0,0,-145,255,54
15324048,5745,-163,0,-6,-169,255,30
15327384,5820,-169,0,-3,-172,255,27
15330716,5910,-175,0,-4,-179,255,20
15347380,6102,-189,0,1,-188,255,12
15350716,6096,-189,0,0,-189,255,11
15354052,6000,-182,0,4,-178,255,23
15367372,5681,-159,0,4,-155,255,45
15370696,5543,-149,0,6,-143,255,58
15393892,5361,-135,0,5,-130,255,71
15397216,5407,-139,0,-2,-141,255,59
15400540,5156,-120,0,12,-108,255,92
15413840,4462,-70,0,0,-70,255,131
15417152,4471,-70,0,0,-70,255,129
15420472,4461,-70,0,0,-70,255,131
15437072,3540,-2,0,10,8,192,208
15440380,3519,-1,0,1,0,200,200
15443688,3509,0,0,0,0,200,200
15460268,2515,71,0,16,87,112,255
15463584,2467,75,0,2,77,123,255
15466896,2466,75,0,0,75,125,255
15483472,1887,117,0,11,128,71,255
15486796,1641,135,0,12,147,52,255
15490116,1499,146,0,7,153,47,255
15503324,1482,147,0,0,147,53,255
15506624,1440,150,0,2,152,48,255
15509936,1335,158,0,5,163,37,255
15526524,1187,168,0,-1,167,33,255
15529848,1173,169,0,0,169,30,255
15533172,1093,175,0,4,179,21,255
15549760,1392,153,0,4,157,43,255
15553072,1358,156,0,1,157,42,255
15556388,1418,151,0,-3,148,52,255
15569620,1491,146,0,0,146,54,255
15572928,1517,144,0,-1,143,57,255
15576244,1584,139,0,-3,136,64,255
15596176,2431,78,0,-4,74,127,255
15599492,2452,76,0,-1,75,125,255
15602820,2475,74,0,-1,73,127,255
15619424,3536,-2,0,-6,-8,209,191
15622732,3529,-2,0,0,-2,201,199
15626040,3537,-2,0,0,-2,203,197
15639308,4338,-61,0,-12,-73,255,126
15642640,4507,-73,0,-8,-81,255,119
15645944,4344,-61,0,8,-53,253,147
15662492,5186,-123,0,-16,-139,255,61
15665812,5418,-140,0,-11,-151,255,49
15669120,5468,-143,0,-2,-145,255,54
15682336,5500,-146,0,2,-144,255,57
15685644,5485,-144,0,0,-144,255,56
15688944,5493,-145,0,0,-145,255,55
15705452,5478,-144,0,-9,-153,255,46
15708752,5471,-143,0,0,-143,255,57
15712052,5462,-143,0,0,-143,255,58
15731880,5500,-146,0,-1,-147,255,53
15735180,5484,-144,0,0,-144,255,56
15738488,5500,-146,0,0,-146,255,54
15751796,4459,-70,0,10,-60,255,141
15755096,4377,-64,0,4,-60,255,141
15758408,4395,-65,0,0,-65,255,134
15774948,3571,-5,0,-1,-6,206,194
15778248,3491,0,0,4,4,196,204
15781544,3125,27,0,18,45,155,245
15794756,1911,115,0,24,139,61,255
15798044,1583,139,0,16,155,44,255
15801340,1580,140,0,0,140,60,255
15817916,407,225,0,2,227,0,255
15821216,169,243,0,11,254,0,255
15824528,0,255,0,8,263,0,255
15841000,0,255,0,0,255,0,255
15844248,0,255,0,0,255,0,255
15847500,0,255,0,0,255,0,255
15863740,0,255,0,0,255,0,255
15866996,0,255,0,0,255,0,255
15870248,0,255,0,0,255,0,255
15889756,0,255,0,0,255,0,255
15893008,0,255,0,0,255,0,255
15906024,0,255,0,0,255,0,255
15909272,0,255,0,0,255,0,255
15912576,0,255,0,0,255,0,255
15928896,0,255,0,0,255,0,255
15932144,0,255,0,0,255,0,255
15935400,0,255,0,0,255,0,255
15958208,0,255,0,0,255,0,255
15961464,0,255,0,0,255,0,255
15977728,0,255,0,0,255,0,255
15980972,0,255,0,0,255,0,255
255,0,255,0,0,255,0,0
16000464,0,255,0,0,255,0,255
16003712,0,255,0,0,255,0,255
16023188,0,255,0,0,255,0,255
16026440,0,255,0,0,255,0,255
16045936,0,255,0,0,255,0,255
16049192,0,255,0,0,255,0,255
16068676,0,255,0,0,255,0,255
16071924,0,255,0,0,255,0,255
16091408,0,255,0,0,255,0,255
16094652,0,255,0,0,255,0,255
16110884,0,255,0,0,255,0,255
16114128,0,255,0,0,255,0,255
16136868,0,255,0,0,255,0,255
16140120,0,255,0,0,255,0,255
16143376,0,255,0,0,255,0,255
16159612,0,255,0,0,255,0,255
16162880,0,255,0,0,255,0,255
16166220,0,255,0,0,255,0,255
16179508,0,255,0,0,255,0,255
16182820,77,249,0,-3,246,0,255
16186152,444,223,0,-18,205,0,255
16202680,916,188,0,-18,170,30,255
16206008,1402,153,0,-24,129,72,255
16209316,1444,150,0,-2,148,53,255
16225860,2469,75,0,-23,52,149,251
16229152,2399,80,0,3,83,117,255
16232456,2395,80,0,0,80,120,255
16249028,3367,9,0,4,13,186,214
16252360,3440,4,0,-3,1,200,200
16255652,3774,-20,0,-16,-36,236,164
16272232,4308,-58,0,-8,-66,255,134
16275552,5000,-109,0,-34,-143,255,56
16278868,5212,-124,0,-10,-134,255,65
16292228,5468,-143,0,-11,-154,255,45
16295524,5723,-162,0,-12,-174,255,25
16298832,6062,-187,0,-16,-203,255,0
16315484,5943,-178,0,-2,-180,255,20
16318828,6134,-192,0,-9,-201,255,0
16322172,6500,-219,0,-18,-237,255,0
16338688,6500,-219,0,0,-219,255,0
16341964,6500,-219,0,0,-219,255,0
16345296,6500,-219,0,0,-219,255,0
16358552,6319,-205,0,9,-196,255,4
16361884,6211,-197,0,5,-192,255,8
16365216,6500,-219,0,-14,-233,255,0
16381860,5949,-178,0,-1,-179,255,21
16385212,6254,-201,0,-15,-216,255,0
16388520,6108,-190,0,7,-183,255,17
16405068,5256,-128,0,7,-121,255,80
16408404,5222,-125,0,1,-124,255,76
16411752,5449,-142,0,-11,-153,255,47
16428252,4500,-73,0,4,-69,255,132
16431584,4500,-73,0,0,-73,255,127
16434856,4476,-71,0,1,-70,255,130
16451336,3500,0,0,2,2,198,202
16454616,3499,0,0,0,0,200,200
16457948,3461,2,0,1,3,196,204
16471248,2499,73,0,0,73,127,255
16474584,2463,75,0,1,76,123,255
16477884,2456,76,0,0,76,124,255
16497704,1474,147,0,1,148,51,255
16501012,1431,151,0,2,153,47,255
16504320,1262,163,0,8,171,29,255
16517580,500,219,0,0,219,0,255
16520876,500,219,0,0,219,0,255
16524164,500,219,0,0,219,0,255
16540768,406,225,0,0,225,0,255
16544072,399,226,0,0,226,0,255
16547376,399,226,0,0,226,0,255
16563904,437,223,0,-1,222,0,255
16567212,464,221,0,-1,220,0,255
16570520,494,219,0,-1,218,0,255
16587104,500,219,0,0,219,0,255
16590444,489,219,0,0,219,0,255
16593736,494,219,0,0,219,0,255
16607024,1256,163,0,-13,150,50,255
16610356,1397,153,0,-7,146,54,255
16613668,1500,146,0,-5,141,60,255
16630152,1764,126,0,-9,117,83,255
16633468,1941,113,0,-8,105,96,255
16636788,2307,87,0,-18,69,132,255
16653292,2598,65,0,-4,61,139,255
16656600,2838,48,0,-12,36,164,236
16659908,3113,28,0,-13,15,186,214
16673096,3543,-3,0,0,-3,203,197
16676384,3629,-9,0,-4,-13,213,187
16679676,3655,-11,0,-1,-12,212,188
16696232,4506,-73,0,0,-73,255,127
16699572,4574,-78,0,-3,-81,255,119
16702872,4777,-93,0,-10,-103,255,97
16719488,5505,-146,0,0,-146,255,54
16722764,5505,-146,0,0,-146,255,54
16726048,5524,-147,0,0,-147,255,52
16745916,6215,-198,0,-3,-201,255,0
16749228,6265,-201,0,-2,-203,255,0
16762452,6328,-206,0,1,-205,255,0
16765760,6317,-205,0,0,-205,255,0
16769064,6294,-203,0,1,-202,255,0
16785612,5923,-176,0,6,-170,255,30
16788920,5734,-163,0,9,-154,255,47
16792224,5557,-150,0,8,-142,255,59
16812004,5378,-137,0,4,-133,255,68
16815304,5209,-124,0,8,-116,255,84
16835156,4475,-71,0,0,-71,255,130
16838440,4409,-66,0,3,-63,255,137
16858260,3538,-2,0,0,-2,201,199
16861548,3492,0,0,2,2,198,202
16881376,2471,75,0,0,75,125,255
16884676,2471,75,0,0,75,125,255
16901224,1583,139,0,6,145,55,255
16904524,1500,146,0,4,150,50,255
16924312,1427,151,0,2,153,47,255
16927624,1325,158,0,5,163,37,255
16944232,1161,170,0,0,170,30,255
16947552,1161,170,0,0,170,30,255
16970772,1451,149,0,-2,147,53,255
16974084,1485,147,0,-1,146,55,255
16993924,2122,100,0,-24,76,124,255
16997264,2315,86,0,-9,77,124,255
17013864,2484,74,0,-14,60,141,255
17017164,2492,73,0,0,73,127,255
17036976,3233,19,0,-17,2,198,202
17040296,3477,1,0,-12,-11,210,190
17056792,3775,-20,0,-9,-29,229,171
17060108,4000,-36,0,-11,-47,247,153
17106364,5408,-139,0,2,-137,255,63
17109668,5506,-146,0,-4,-150,255,49
17112968,5513,-146,0,0,-146,255,53
17126144,5512,-146,0,0,-146,255,53
17129436,5519,-147,0,0,-147,255,53
17149200,5506,-146,0,0,-146,255,55
17152488,5506,-146,0,0,-146,255,54
17195448,4434,-68,0,2,-66,255,135
17198748,4473,-71,0,-1,-72,255,128
17202048,4427,-67,0,2,-65,255,135
17215300,3697,-14,0,11,-3,202,198
17218620,3552,-3,0,7,4,197,203
17238468,2873,45,0,12,57,142,255
17241796,2602,65,0,13,78,121,255
17245104,2490,73,0,5,78,121,255
17261640,2287,88,0,6,94,106,255
17264948,2421,78,0,-6,72,128,255
17268256,1939,113,0,24,137,62,255
17284832,1515,144,0,1,145,54,255
17288148,1507,145,0,0,145,55,255
17291456,1492,146,0,0,146,53,255
17307960,1478,147,0,0,147,53,255
17311260,1484,147,0,0,147,54,255
17314564,1492,146,0,0,146,54,255
17331088,1708,130,0,-4,126,74,255
17334408,1738,128,0,-1,127,73,255
17337724,1869,119,0,-6,113,88,255
17351020,2300,87,0,-6,81,120,255
17354332,2392,80,0,-4,76,124,255
17357636,2419,78,0,-1,77,123,255
17374152,2531,70,0,-3,67,133,255
17377464,2721,56,0,-9,47,153,247
17380772,2885,44,0,-8,36,164,236
17397336,3507,0,0,-7,-7,208,192
17400636,3529,-2,0,-1,-3,203,197
17403944,3548,-3,0,0,-3,204,196
17417184,4024,-38,0,-1,-39,239,161
17420504,4411,-66,0,-19,-85,255,115
17423812,4434,-68,0,-1,-69,255,131
17440328,4669,-85,0,-7,-92,255,108
17443644,4781,-93,0,-5,-98,255,101
17446964,4907,-102,0,-6,-108,255,91
17463576,5311,-132,0,-3,-135,255,65
17466892,5337,-134,0,-1,-135,255,65
17470208,5374,-136,0,-1,-137,255,62
17486768,5218,-125,0,2,-123,255,78
17490092,5151,-120,0,3,-117,255,83
17493408,5002,-109,0,7,-102,255,98
17510020,4508,-73,0,8,-65,255,136
17513324,4484,-71,0,1,-70,255,130
17516632,4471,-70,0,0,-70,255,130
17529828,4364,-63,0,2,-61,255,140
17533144,4218,-52,0,7,-45,245,155
17536460,4065,-41,0,7,-34,233,167
17553032,3514,-1,0,0,-1,200,200
17556332,3499,0,0,0,0,200,200
17559644,3457,3,0,2,5,195,205
17576232,2523,71,0,11,82,117,255
17579544,2458,76,0,3,79,121,255
17582856,2474,74,0,0,74,126,255
17599424,2272,89,0,4,93,106,255
17602756,2150,98,0,6,104,96,255
17606080,2000,109,0,7,116,83,255
17622752,1797,124,0,3,127,73,255
17646064,1698,131,0,-1,130,71,255
17649396,1692,131,0,0,131,68,255
17652716,1721,129,0,-1,128,72,255
17666064,1926,114,0,-1,113,87,255
17712560,2938,41,0,-4,37,164,236
17715884,3131,26,0,-9,17,183,217
17719208,3371,9,0,-12,-3,202,198
17732448,3554,-3,0,-1,-4,205,195
17735764,3651,-11,0,-4,-15,215,185
17739072,3827,-23,0,-8,-31,232,168
17755640,4158,-48,0,4,-44,243,157
17758932,4457,-69,0,-14,-83,255,116
17762236,4280,-56,0,8,-48,248,152
17778796,4933,-104,0,-16,-120,255,79
17782120,5000,-109,0,-3,-112,255,88
17785436,4835,-97,0,8,-89,255,111
17805268,5498,-145,0,-3,-148,255,51
17808608,5250,-127,0,12,-115,255,85
17821868,4315,-59,0,9,-50,250,150
17825200,4500,-73,0,-9,-82,255,118
17828532,4488,-72,0,0,-72,255,129
17845036,3505,0,0,0,0,200,200
17848316,3446,3,0,2,5,194,206
17851612,3085,30,0,18,48,152,248
17871520,1553,142,0,15,157,43,255
17874808,1500,146,0,2,148,52,255
17888012,443,223,0,8,231,0,255
17891308,463,221,0,-1,220,0,255
17894604,450,222,0,0,222,0,255
17911140,0,255,0,0,255,0,255
17914444,0,255,0,0,255,0,255
17917748,0,255,0,0,255,0,255
17937340,0,255,0,0,255,0,255
17940592,0,255,0,0,255,0,255
255,0,255,0,0,255,0,0
17960072,0,255,0,0,255,0,255
17963320,0,255,0,0,255,0,255
255,0,255,0,0,255,0,0
17982812,0,255,0,0,255,0,255
17986112,0,255,0,0,255,0,255
18005716,0,255,0,0,255,0,255
18008964,0,255,0,0,255,0,255
18028444,0,255,0,0,255,0,255
18031696,0,255,0,0,255,0,255
18051168,0,255,0,0,255,0,255
18054412,0,255,0,0,255,0,255
18073884,0,255,0,0,255,0,255
18077128,0,255,0,0,255,0,255
18093352,0,255,0,0,255,0,255
18096596,0,255,0,0,255,0,255
18119296,0,255,0,0,255,0,255
18122540,0,255,0,0,255,0,255
18125780,0,255,0,0,255,0,255
18138760,0,255,0,0,255,0,255
18142004,0,255,0,0,255,0,255
18164712,0,255,0,0,255,0,255
18167964,0,255,0,0,255,0,255
18171208,0,255,0,0,255,0,255
18187432,0,255,0,0,255,0,255
18190672,0,255,0,0,255,0,255
18193916,0,255,0,0,255,0,255
18206896,0,255,0,0,255,0,255
18210136,0,255,0,0,255,0,255
18213380,0,255,0,0,255,0,255
18229680,0,255,0,0,255,0,255
18232980,0,255,0,0,255,0,255
18236224,1332,158,0,-66,92,109,255
18252796,0,255,0,0,255,0,255
18256100,0,255,0,0,255,0,255
18259400,51,251,0,-2,249,0,255
18272624,482,220,0,0,220,0,255
18275964,482,220,0,0,220,0,255
18279240,488,219,0,0,219,0,255
18299108,1513,145,0,-1,144,57,255
18302408,1492,146,0,1,147,53,255
18305708,1541,143,0,-2,141,60,255
18318936,2464,75,0,-1,74,126,255
18322232,2472,75,0,0,75,126,255
18325528,2492,73,0,-1,72,128,255
18342056,3538,-2,0,0,-2,203,197
18345344,3578,-5,0,-2,-7,207,193
18348640,3830,-24,0,-12,-36,236,164
18365152,4528,-75,0,-2,-77,255,123
18368456,4754,-91,0,-11,-102,255,98
18371772,5214,-125,0,-23,-148,255,52
18384968,5500,-146,0,0,-146,255,54
18388256,5540,-148,0,-2,-150,255,50
18391552,5732,-162,0,-9,-171,255,28
18411420,6512,-219,0,0,-219,255,0
18414760,6500,-219,0,0,-219,255,0
18418092,6506,-219,0,0,-219,255,0
18434692,6550,-222,0,0,-222,255,0
18437980,6557,-223,0,0,-223,255,0
18441280,6550,-222,0,0,-222,255,0
18454432,6218,-198,0,14,-184,255,17
18457776,6324,-206,0,-5,-211,255,0
18461116,6323,-206,0,0,-206,255,0
18477744,6310,-205,0,-4,-209,255,0
18481036,6212,-197,0,4,-193,255,7
18484340,6004,-182,0,10,-172,255,28
18500872,5500,-146,0,1,-145,255,56
18504168,5493,-145,0,0,-145,255,55
18507456,5472,-143,0,1,-142,255,58
18520688,4680,-86,0,12,-74,255,127
18524000,4357,-62,0,16,-46,246,154
18527292,4486,-71,0,-6,-77,255,122
18543796,3589,-6,0,17,11,189,211
18547092,3533,-2,0,2,0,200,200
18550384,3521,-1,0,0,-1,200,200
18566900,2484,74,0,2,76,123,255
18570196,2453,76,0,1,77,123,255
18573504,2471,75,0,0,75,126,255
18593336,1486,147,0,0,147,54,255
18596628,1485,147,0,0,147,53,255
18616480,463,221,0,0,221,0,255
18619772,463,221,0,0,221,0,255
18632924,437,223,0,0,223,0,255
18636216,429,224,0,0,224,0,255
18639508,437,223,0,0,223,0,255
18659260,428,224,0,0,224,0,255
18662560,429,224,0,0,224,0,255
18682300,456,222,0,0,222,0,255
18685588,494,219,0,-1,218,0,255
18698864,1248,164,0,-11,153,47,255
18702180,1459,148,0,-10,138,62,255
18705492,1492,146,0,-1,145,56,255
18725320,2172,96,0,-14,82,118,255
18728640,2421,78,0,-12,66,134,255
18748488,3162,24,0,-17,7,193,207
18751808,3426,5,0,-13,-8,207,193
18771632,4218,-52,0,-14,-66,255,134
18774948,4397,-65,0,-8,-73,255,126
18794768,4976,-107,0,-13,-120,255,79
18798096,5183,-122,0,-10,-132,255,67
18817892,5432,-141,0,-1,-142,255,58
18821196,5455,-142,0,-1,-143,255,57
18840960,5456,-142,0,0,-142,255,59
18844252,5424,-140,0,1,-139,255,62
18860812,4485,-71,0,3,-68,255,132
18864112,4472,-70,0,0,-70,255,130
18883940,3527,-1,0,7,6,195,205
18887232,3539,-2,0,0,-2,203,197
18907036,2438,77,0,0,77,122,255
18910340,2071,104,0,18,122,78,255
