Timestamp_uS,Position,P,I,D,Total_Adjustment,PWM_L,PWM_R
13814856,3409,9,0,163,172,28,255
13818180,3410,9,0,-1,8,193,207
13821520,3409,9,0,1,10,190,210
13824860,3406,9,0,5,14,186,214
13828200,3410,9,0,-7,2,199,201
13831540,3407,9,0,5,14,186,214
13834876,3410,9,0,-5,4,197,203
13838212,3307,19,0,185,204,0,255
13841556,3410,9,0,-185,-176,255,24
13844896,3447,5,0,-66,-61,255,139
13848232,3616,-11,0,-304,-315,255,0
13851572,3636,-13,0,-36,-49,249,151
13854908,3540,-4,0,172,168,32,255
13858232,3462,3,0,140,143,56,255
13861556,3459,4,0,5,9,191,209
13864884,3552,-5,0,-167,-172,255,28
13881544,3541,-4,0,-64,-68,255,132
13884876,3649,-14,0,-194,-208,255,0
13888208,3651,-15,0,-3,-18,218,182
13908064,3524,-2,0,12,10,190,210
13911400,3518,-1,0,10,9,192,208
13931272,3553,-5,0,-63,-68,255,132
13934572,3564,-6,0,-19,-25,226,174
13954300,3595,-9,0,-68,-77,255,123
13957636,3620,-12,0,-45,-57,255,143
13974116,3838,-33,0,-180,-213,255,0
13977432,3880,-38,0,-75,-113,255,87
13997328,4191,-69,0,-34,-103,255,97
14000632,4238,-73,0,-84,-157,255,42
14020440,4320,-82,0,39,-43,242,158
14023748,4280,-78,0,72,-6,206,194
14040300,4042,-54,0,136,82,118,255
14043612,3980,-48,0,111,63,137,255
14063436,3531,-3,0,48,45,155,245
14066732,3537,-3,0,-10,-13,214,186
14086548,3543,-4,0,14,10,190,210
14089840,3512,-1,0,55,54,146,254
14109652,3518,-1,0,9,8,193,207
14113000,3512,-1,0,10,9,191,209
14132920,3512,-1,0,0,-1,201,199
14136200,3536,-3,0,-43,-46,246,154
14156072,3500,0,0,1,1,199,201
14159396,3544,-4,0,-79,-83,255,117
14179276,3507,0,0,-12,-12,213,187
14182608,3501,0,0,10,10,190,210
14199124,3517,-1,0,-28,-29,230,170
14202464,3512,-1,0,9,8,193,207
14222300,3512,-1,0,9,8,193,207
14225644,3524,-2,0,-21,-23,223,177
14242196,3518,-1,0,21,20,181,219
14245536,3531,-3,0,-23,-26,226,174
14265332,3536,-3,0,-23,-26,227,173
14268628,3530,-3,0,10,7,193,207
14291784,3524,-2,0,0,-2,202,198
14295068,3518,-1,0,10,9,192,208
14298360,3530,-3,0,-21,-24,224,176
14311620,3537,-3,0,-1,-4,205,195
14314916,3524,-2,0,23,21,179,221
14334712,3571,-7,0,-37,-44,244,156
14338008,3550,-5,0,37,32,168,232
14341308,3537,-3,0,23,20,181,219
14357908,3524,-2,0,10,8,192,208
14361196,3530,-3,0,-10,-13,213,187
14364492,3511,-1,0,34,33,167,233
14381036,3524,-2,0,-32,-34,234,166
14384380,3518,-1,0,10,9,192,208
14387724,3524,-2,0,-10,-12,213,187
14404276,3523,-2,0,1,-1,200,200
14407564,3530,-3,0,-12,-15,215,185
14410912,3537,-3,0,-12,-15,216,184
14424168,3525,-2,0,9,7,194,206
14427464,3512,-1,0,23,22,178,222
14430756,3512,-1,0,0,-1,201,199
14447216,3499,0,0,-34,-34,234,166
14450508,3505,0,0,-10,-10,211,189
14453812,3518,-1,0,-23,-24,225,175
14470284,3511,-1,0,-10,-11,211,189
14473628,3518,-1,0,-12,-13,214,186
14476920,3519,-1,0,-1,-2,203,197
14490148,3518,-1,0,46,45,155,245
14493440,3537,-3,0,-34,-37,237,163
14496732,3524,-2,0,23,21,179,221
14513260,3519,-1,0,-12,-13,214,186
14516556,3513,-1,0,10,9,191,209
14519852,3505,0,0,14,14,187,213
14536348,3426,7,0,21,28,172,228
14539652,3413,8,0,23,31,168,232
14542964,3372,12,0,73,85,114,255
14559492,3397,10,0,28,38,161,239
14562788,3416,8,0,-34,-26,225,175
14566088,3430,7,0,-25,-18,218,182
14582596,3506,0,0,12,12,189,211
14585896,3499,0,0,12,12,188,212
14589192,3493,0,0,10,10,189,211
14605616,3499,0,0,23,23,177,223
14608956,3494,0,0,9,9,191,209
14612244,3480,2,0,25,27,173,227
14628756,3188,31,0,102,133,67,255
14632080,3073,42,0,207,249,0,255
14635400,2981,51,0,165,216,0,255
14648676,2559,94,0,176,270,0,255
14651980,2493,100,0,118,218,0,255
14655280,2452,104,0,73,177,22,255
14671776,2447,105,0,-9,96,104,255
14675076,2514,98,0,-120,-22,222,178
14678368,2448,105,0,118,223,0,255
14694892,2094,140,0,354,494,0,255
14698204,1833,166,0,469,635,0,255
14701520,1650,185,0,329,514,0,255
14718020,1473,202,0,12,214,0,255
14721320,1461,203,0,21,224,0,255
14724620,1461,203,0,0,203,0,255
14741112,1351,214,0,154,368,0,255
14744424,1241,225,0,198,423,0,255
14747740,1162,233,0,142,375,0,255
14760988,910,259,0,77,336,0,255
14764340,872,262,0,68,330,0,255
14767688,772,272,0,180,452,0,255
14784396,827,267,0,-126,141,59,255
14787744,844,265,0,-30,235,0,255
14791092,916,258,0,-129,129,72,255
14804328,1172,232,0,-111,121,79,255
14807624,1235,226,0,-113,113,87,255
14810920,1271,222,0,-64,158,42,255
14827412,1456,204,0,-108,96,104,255
14830760,1493,200,0,-66,134,66,255
14834048,1512,198,0,-34,164,36,255
14850532,1680,182,0,-372,-190,255,10
14853824,1458,204,0,399,603,0,255
14857132,1456,204,0,3,207,0,255
14873660,1478,202,0,234,436,0,255
14876960,1486,201,0,-14,187,13,255
14880264,1465,203,0,37,240,0,255
14900088,1474,202,0,23,225,0,255
14903388,1467,203,0,12,215,0,255
14923192,1480,202,0,1,203,0,255
14926540,1481,201,0,-1,200,0,255
14939856,1545,195,0,-81,114,86,255
14943188,1574,192,0,-52,140,60,255
14946532,1566,193,0,14,207,0,255
14959840,1695,180,0,-100,80,121,255
14963184,1733,176,0,-68,108,92,255
14966472,1776,172,0,-77,95,105,255
14982992,2462,103,0,-201,-98,255,103
14986292,2460,104,0,3,107,93,255
14989600,2452,104,0,14,118,81,255
15012752,2468,103,0,-1,102,99,255
15016068,2457,104,0,19,123,76,255
15032600,2476,102,0,-1,101,100,255
15035904,2477,102,0,-1,101,100,255
15055736,2877,62,0,-72,-10,209,191
15059064,3075,42,0,-356,-314,255,0
15072352,3380,12,0,-61,-49,249,151
15075664,3446,5,0,-118,-113,255,87
15078976,3434,6,0,21,27,172,228
15102176,3400,10,0,-43,-33,233,167
15105492,3360,14,0,72,86,114,255
15125440,2564,93,0,122,215,0,255
15128760,2483,101,0,145,246,0,255
15145272,2454,104,0,52,156,44,255
15148580,2455,104,0,-1,103,98,255
15168436,2550,95,0,-73,22,179,221
15171752,2655,84,0,-189,-105,255,96
15188388,3441,5,0,-331,-326,255,0
15191716,3413,8,0,50,58,141,255
15214968,3505,0,0,1,1,199,201
15218284,3515,-1,0,-18,-19,219,181
15234892,3496,0,0,16,16,184,216
15238216,3474,2,0,39,41,158,242
15258160,3287,21,0,212,233,0,255
15261496,3169,33,0,212,245,0,255
15281488,2869,63,0,-18,45,155,245
15284816,2857,64,0,21,85,115,255
15304760,3111,38,0,-199,-161,255,40
15308096,3235,26,0,-223,-197,255,4
15324752,3459,4,0,-126,-122,255,79
15328076,3495,0,0,-64,-64,255,136
15348008,3496,0,0,0,0,200,200
15351312,3524,-2,0,-50,-52,252,148
15371228,3436,6,0,43,49,151,249
15374556,3409,9,0,48,57,143,255
15394512,3250,25,0,162,187,13,255
15397840,3221,27,0,52,79,120,255
15401184,3194,30,0,48,78,121,255
15417872,3220,28,0,-70,-42,242,158
15421204,3330,17,0,-198,-181,255,19
15424540,3354,14,0,-43,-29,228,172
15437844,3523,-2,0,-66,-68,255,132
15441160,3554,-5,0,-55,-60,255,139
15460984,3547,-4,0,-14,-18,219,181
15464288,3535,-3,0,21,18,182,218
15467596,3533,-3,0,3,0,200,200
15484096,3557,-5,0,0,-5,205,195
15487384,3550,-5,0,12,7,193,207
15490680,3553,-5,0,-5,-10,210,190
15507204,3498,0,0,12,12,188,212
15510512,3513,-1,0,-27,-28,228,172
15513832,3525,-2,0,-21,-23,224,176
15527128,3238,26,0,135,161,39,255
15530464,3142,35,0,172,207,0,255
15533800,2674,82,0,842,924,0,255
15550356,2397,110,0,23,133,67,255
15553672,2411,108,0,-25,83,117,255
15556980,2432,106,0,-37,69,131,255
15573552,1506,199,0,397,596,0,255
15576852,1492,200,0,25,225,0,255
15580168,1476,202,0,28,230,0,255
15596748,785,271,0,302,573,0,255
15600088,682,281,0,185,466,0,255
15603380,604,289,0,140,429,0,255
15616628,463,303,0,0,303,0,255
15619924,464,303,0,-1,302,0,255
15623236,456,304,0,14,318,0,255
15643044,397,310,0,68,378,0,255
15646348,343,315,0,97,412,0,255
15649664,252,324,0,163,487,0,255
15662968,0,350,0,106,456,0,255
15666300,0,350,0,0,350,0,255
15669616,421,307,0,-757,-450,255,0
15686228,257,324,0,-462,-138,255,62
15689536,436,306,0,-322,-16,215,185
15692860,474,302,0,-68,234,0,255
15706016,0,350,0,0,350,0,255
15709288,0,350,0,0,350,0,255
15712548,0,350,0,0,350,0,255
15728876,0,350,0,0,350,0,255
15732144,0,350,0,0,350,0,255
15735412,0,350,0,0,350,0,255
15751780,0,350,0,0,350,0,255
15755052,0,350,0,0,350,0,255
15758324,0,350,0,0,350,0,255
15774672,0,350,0,0,350,0,255
15777932,0,350,0,0,350,0,255
15781188,0,350,0,0,350,0,255
15797512,0,350,0,0,350,0,255
15800780,0,350,0,0,350,0,255
15804044,0,350,0,0,350,0,255
15820404,0,350,0,0,350,0,255
15823672,0,350,0,0,350,0,255
15826940,0,350,0,0,350,0,255
15843600,0,350,0,0,350,0,255
15846924,0,350,0,0,350,0,255
15850252,0,350,0,0,350,0,255
15863544,500,300,0,-21,279,0,255
15866848,476,302,0,43,345,0,255
15870164,488,301,0,-21,280,0,255
15886720,1286,221,0,-1018,-797,255,0
15890068,1412,208,0,-226,-18,217,183
15893404,1451,204,0,-70,134,66,255
15909924,1663,183,0,-262,-79,255,121
15913224,1962,153,0,-538,-385,255,0
15916540,2404,109,0,-795,-686,255,0
15933084,2500,100,0,-45,55,145,255
15936364,2500,100,0,0,100,100,255
15939648,2500,100,0,0,100,100,255
15959504,2983,51,0,-361,-310,255,0
15962832,3083,41,0,-180,-139,255,62
15976108,3190,31,0,-149,-118,255,82
15979452,3450,5,0,-468,-463,255,0
15982804,3487,1,0,-66,-65,255,135
15999348,3385,11,0,113,124,76,255
16002648,3294,20,0,163,183,16,255
16005952,3138,36,0,280,316,0,255
16019216,2564,93,0,244,337,0,255
16022524,2506,99,0,104,203,0,255
16025876,2500,100,0,10,110,90,255
16042460,2500,100,0,0,100,100,255
16045748,2500,100,0,0,100,100,255
16049032,2500,100,0,0,100,100,255
16065556,2512,98,0,-21,77,123,255
16068900,2530,97,0,-32,65,136,255
16072196,2571,92,0,-73,19,181,219
16092100,3294,20,0,-234,-214,255,0
16095416,3461,3,0,-300,-297,255,0
16108656,3480,2,0,-52,-50,250,150
16111948,3486,1,0,-10,-9,209,191
16115244,3493,0,0,-12,-12,211,189
16138356,3441,5,0,57,62,137,255
16141656,3440,6,0,1,7,193,207
16158176,3367,13,0,169,182,18,255
16161480,3331,16,0,64,80,119,255
16181420,2773,72,0,79,151,49,255
16184732,2730,77,0,77,154,46,255
16204616,2793,70,0,-77,-7,206,194
16207944,2850,65,0,-102,-37,237,163
16227876,3373,12,0,-117,-105,255,96
16231184,3450,5,0,-138,-133,255,67
16251120,3524,-2,0,-10,-12,213,187
16254468,3530,-3,0,-10,-13,213,187
16271004,3523,-2,0,1,-1,200,200
16274296,3523,-2,0,0,-2,202,198
16294168,3477,2,0,63,65,135,255
16297476,3435,6,0,75,81,118,255
16317396,3091,40,0,66,106,93,255
16320724,3007,49,0,151,200,0,255
16340668,3097,40,0,-158,-118,255,82
16343996,3159,34,0,-111,-77,255,123
16363904,3512,-1,0,-63,-64,255,136
16367204,3519,-1,0,-12,-13,214,186
16386968,3524,-2,0,34,32,169,231
16390316,3530,-3,0,-10,-13,213,187
16393660,3543,-4,0,-23,-27,227,173
16406900,3523,-2,0,12,10,190,210
16410240,3499,0,0,43,43,157,243
16426788,3455,4,0,66,70,129,255
16430096,3376,12,0,142,154,46,255
16453336,3100,40,0,41,81,119,255
16456664,3098,40,0,3,43,157,243
16459992,3149,35,0,-91,-56,255,144
16473276,3220,28,0,-118,-90,255,110
16476600,3272,22,0,-93,-71,255,130
16496448,3532,-3,0,1,-2,201,199
16499756,3525,-2,0,12,10,190,210
16519536,3532,-3,0,12,9,191,209
16522828,3539,-3,0,-12,-15,216,184
16526128,3536,-3,0,5,2,199,201
16542616,3526,-2,0,12,10,191,209
16545916,3519,-1,0,12,11,190,210
16549216,3506,0,0,23,23,178,222
16562416,3474,2,0,30,32,167,233
16565720,3474,2,0,0,2,198,202
16588956,3407,9,0,5,14,186,214
16592268,3354,14,0,95,109,91,255
16595588,3330,17,0,43,60,140,255
16608864,3362,13,0,-117,-104,255,97
16612184,3411,8,0,-88,-80,255,121
16615508,3420,8,0,-16,-8,208,192
16632068,3526,-2,0,-10,-12,213,187
16635376,3540,-4,0,-25,-29,229,171
16638680,3533,-3,0,12,9,191,209
16651904,3506,0,0,23,23,178,222
16655208,3520,-2,0,-25,-27,227,173
16658520,3519,-1,0,1,0,200,200
16678380,3540,-4,0,-25,-29,229,171
16681684,3526,-2,0,25,23,178,222
16684992,3519,-1,0,12,11,190,210
16698220,3512,-1,0,1,0,200,200
16701528,3513,-1,0,-1,-2,203,197
16704840,3513,-1,0,0,-1,201,199
16721372,3491,0,0,12,12,187,213
16724680,3505,0,0,-25,-25,225,175
16727992,3498,0,0,12,12,188,212
16744548,3489,1,0,1,2,198,202
16747864,3497,0,0,-14,-14,214,186
16751180,3497,0,0,0,0,200,200
16764424,3528,-2,0,0,-2,202,198
16767724,3521,-2,0,12,10,190,210
16771036,3521,-2,0,0,-2,202,198
16787588,3542,-4,0,-25,-29,229,171
16790892,3542,-4,0,0,-4,204,196
16794188,3542,-4,0,0,-4,204,196
16814032,3491,0,0,-1,-1,200,200
16817336,3476,2,0,27,29,171,229
16820636,3491,0,0,-27,-27,226,174
16833852,3467,3,0,12,15,185,215
16837156,3482,1,0,-27,-26,225,175
16840464,3473,2,0,16,18,182,218
16857008,3482,1,0,0,1,199,201
16860308,3483,1,0,-1,0,200,200
16863612,3475,2,0,14,16,184,216
16876796,3490,1,0,14,15,185,215
16880100,3491,0,0,-1,-1,200,200
16883400,3490,1,0,1,2,198,202
16903280,3481,1,0,14,15,184,216
16906588,3489,1,0,-14,-13,213,187
16909900,3489,1,0,0,1,199,201
16926440,3488,1,0,-14,-13,213,187
16929760,3480,2,0,14,16,184,216
16933080,3479,2,0,1,3,197,203
16946316,3469,3,0,3,6,194,206
16949636,3452,4,0,30,34,165,235
16952948,3451,4,0,1,5,194,206
16969536,3441,5,0,-12,-7,206,194
16972864,3431,6,0,18,24,176,224
16976176,3441,5,0,-18,-13,212,188
16992748,3444,5,0,-34,-29,228,172
16996064,3444,5,0,0,5,195,205
16999368,3453,4,0,-16,-12,211,189
17012632,3461,3,0,18,21,179,221
17015952,3469,3,0,-14,-11,211,189
17019268,3461,3,0,14,17,182,218
17035840,3433,6,0,68,74,125,255
17039152,3455,4,0,-39,-35,235,165
17042468,3463,3,0,-14,-11,210,190
17059032,3454,4,0,32,36,164,236
17062344,3453,4,0,1,5,194,206
17065656,3444,5,0,16,21,179,221
17085536,3451,4,0,-18,-14,213,187
17088852,3450,5,0,1,6,194,206
17102124,3451,4,0,18,22,178,222
17105440,3451,4,0,0,4,196,204
17108744,3460,4,0,-16,-12,212,188
17125336,3489,1,0,-50,-49,249,151
17128656,3470,3,0,34,37,163,237
17131968,3481,1,0,-19,-18,217,183
17145204,3521,-2,0,-14,-16,216,184
17148512,3521,-2,0,0,-2,202,198
17151812,3521,-2,0,0,-2,202,198
17174976,3521,-2,0,0,-2,202,198
17178276,3497,0,0,43,43,157,243
17191532,3375,12,0,64,76,123,255
17194852,3331,16,0,79,95,104,255
17198176,3283,21,0,86,107,92,255
